Target: Философия, max_length: 40
Path:

----------------------
Page name: Trollfest, next link number: 0, link: https://ru.wikipedia.org/wiki/Trollfest
Page name: Фолк-метал, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%A4%D0%BE%D0%BB%D0%BA-%D0%BC%D0%B5%D1%82%D0%B0%D0%BB
Page name: Метал, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%82%D0%B0%D0%BB
Page name: Рок-музыка, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%BA-%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0
Page name: Популярная музыка, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BF%D1%83%D0%BB%D1%8F%D1%80%D0%BD%D0%B0%D1%8F_%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0
Page name: Музыкальные стили и жанры, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5_%D1%81%D1%82%D0%B8%D0%BB%D0%B8_%D0%B8_%D0%B6%D0%B0%D0%BD%D1%80%D1%8B
Page name: Творчество, next link number: 2, link: https://ru.wikipedia.org/wiki/%D0%A2%D0%B2%D0%BE%D1%80%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE
Page name: Автор, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%82%D0%BE%D1%80
Page name: Физическое лицо, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5_%D0%BB%D0%B8%D1%86%D0%BE
Page name: Человек, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA
Page name: Социум, next link number: 1, link: https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%86%D0%B8%D1%83%D0%BC
Page name: Люди, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9B%D1%8E%D0%B4%D0%B8
Page name: Социум, next link number: 3, link: https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%86%D0%B8%D1%83%D0%BC
Page name: Ценность, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C
