Target: Философия, max_length: 40
Path:

----------------------
Page name: Крис Редфилд, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B8%D1%81_%D0%A0%D0%B5%D0%B4%D1%84%D0%B8%D0%BB%D0%B4
Page name: Игровой персонаж, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%98%D0%B3%D1%80%D0%BE%D0%B2%D0%BE%D0%B9_%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6
Page name: Персонаж, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6
Page name: Спектакль, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B5%D0%BA%D1%82%D0%B0%D0%BA%D0%BB%D1%8C
Page name: Телевидение, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5
Page name: Электросвязь, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D0%B2%D1%8F%D0%B7%D1%8C
Page name: Передача информации, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D0%B4%D0%B0%D1%87%D0%B0_%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%B8
Page name: Знак, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%97%D0%BD%D0%B0%D0%BA
Page name: Соглашение, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B3%D0%BB%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5
Page name: Соглашение, next link number: 1, link: https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B3%D0%BB%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5
Page name: Лицо , next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D1%86%D0%BE_(%D1%81%D1%83%D0%B1%D1%8A%D0%B5%D0%BA%D1%82_%D0%BF%D1%80%D0%B0%D0%B2%D0%B0)
Page name: Юридическое лицо, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%AE%D1%80%D0%B8%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5_%D0%BB%D0%B8%D1%86%D0%BE
Page name: Организация, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F
Page name: Социальная группа, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D0%B0
Page name: Деятельность, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%8F%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D1%8C
Page name: Потребность, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%82%D1%80%D0%B5%D0%B1%D0%BD%D0%BE%D1%81%D1%82%D1%8C
Page name: Способность, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%BD%D0%BE%D1%81%D1%82%D1%8C
Page name: Личность, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D1%87%D0%BD%D0%BE%D1%81%D1%82%D1%8C
Page name: Природа и сущность человека, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%B0_%D0%B8_%D1%81%D1%83%D1%89%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%D0%B0
Page name: Философия, next link number: 0, link: https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84%D0%B8%D1%8F

----------------------
